,,Pop,MA09,MA15,MA21,MA34,MA43,MA49
Isabella,LUN,1,372380,174174,202222,180186,290293,232236
,LUN,1,384388,176176,222222,180184,287293,232236
,LUN,1,384384,176176,202202,180186,290293,232236
,LUN,1,372372,168174,222222,180186,287290,232236
,LUN,1,372372,176176,222222,180192,287293,232236
Continente,ISPL,2,372384,170172,222222,186186,266293,233241
,ISPL,2,372380,166166,222222,186186,290290,233233
,ISPL,2,372384,168174,222222,186186,266269,221237
,BC,3,372388,168170,222222,186186,266266,249253
,BC,3,384388,166172,210210,186186,269293,237241
,BC,3,380384,166166,210222,186186,269284,253257
